Cidade;Escola;GestaoAdministrativa;GestaoPedagogica;GestaoDeInfraestrutura;GestaoDeInteracao;NotaDaEscola;AnoDaAvaliacao
CASSILÂNDIA;EE HERMELINA BARBOSA LEAL;9.09415;8.84651;8.10929;8.08034;8.43364;2018
GLÓRIA DE DOURADOS;EE HILDA BERGO DUARTE;9.20269;8.98017;8.28550;8.84314;8.72145;2018
MIRANDA;EE INDÍGENA CACIQUE TIMÓTEO;8.87478;8.64799;8.22604;8.84245;8.54520;2018
DOURADOS;EE INDÍGENA DE EM INT. GUATEKA - MARÇAL DE SOUZA;8.42945;8.25116;8.25169;8.09598;8.24710;2018
AQUIDAUANA;EE INDÍGENA DE EM PASCOAL LEITE DIAS;8.42533;8.29433;7.07130;8.18959;7.79880;2018
AQUIDAUANA;EE INDÍGENA DE EM PASTOR REGINALDO MIGUEL - HOYENÓ O;7.97172;7.77492;8.23184;8.43819;8.12078;2018
AQUIDAUANA;EE INDÍGENA DE EM PROF. DOMINGOS VERÍSSIMO MARCOS - MÍHIN;8.23812;8.03700;8.27242;8.60928;8.27549;2018
NIOAQUE;EE INDÍGENA DE ENSINO MÉDIO ANGELINA VICENTE;9.29158;8.54555;8.39777;8.96857;8.66039;2018
ANASTÁCIO;EE INDÍGENA GUILHERMINA DA SILVA;8.35964;8.16246;6.83281;7.96766;7.71327;2018
CORUMBÁ;EE INDÍGENA JOÃO QUIRINO DE CARVALHO - TOGHOPANÃA;8.61525;7.47011;7.32056;7.96865;7.66480;2018
MIRANDA;EE INDÍGENA PROFESSOR ATANÁSIO ALVES;8.56315;7.83154;8.16709;7.65773;8.03594;2018
CAMPO GRANDE;EE JOÃO CARLOS FLORES;7.49187;7.27786;7.42905;7.08481;7.32894;2018
TRÊS LAGOAS;EE JOÃO DANTAS FILGUEIRAS;7.19846;6.65477;5.96533;6.47000;6.39881;2018
TRÊS LAGOAS;EE JOÃO PONCE DE ARRUDA;8.52281;7.99685;6.68514;7.38041;7.39120;2018
CAMPO GRANDE;EE JOAQUIM MURTINHO;7.63473;7.11832;7.18726;6.73959;7.14067;2018
DOURADOS;EE JOAQUIM VAZ DE OLIVEIRA;8.76158;8.37746;8.35525;8.22433;8.39463;2018
CHAPADÃO DO SUL;EE JORGE AMADO;8.36609;8.11163;7.75097;7.56368;7.90590;2018
CAMPO GRANDE;EE JOSÉ ANTONIO PEREIRA;8.91671;8.22560;8.05579;8.32578;8.25178;2018
TRÊS LAGOAS;EE JOSÉ FERREIRA;8.47738;7.77080;7.75392;7.32482;7.76804;2018
COSTA RICA;EE JOSÉ FERREIRA DA COSTA;8.87021;8.60619;8.48236;8.76823;8.61852;2018
SANTA RITA DO PARDO;EE JOSÉ FERREIRA LIMA;8.74581;8.29422;8.30903;8.03616;8.31448;2018
PARANAÍBA;EE JOSÉ GARCIA LEAL;8.58632;8.27251;8.13432;7.77432;8.16040;2018
CAMPO GRANDE;EE JOSÉ MARIA HUGO RODRIGUES;8.37787;8.10134;7.83675;7.63653;7.94519;2018
