AnoReferencia;NomeMunicipio;NomeUnidadeEscolar;MatriculasTotal;MatriculaInicial;MatriculaAposCenso;Transferidos;Cancelados;Falecido;Abandono;Aprovados;Reprovados;Cursando;OutrasSituacoes
2019;Aquidauana;CENTRO PROFIS.AQUIDAUANA GERALDO AFONSO GARCIA FERREIRA - EXTENSÃO SALA ADA MOREIRA DE BARROS;51;50;1;15;1;0;0;0;0;35;0
2019;Campo Grande;EE 11 DE OUTUBRO;714;680;34;137;5;0;0;0;0;571;1
2019;Campo Grande;EE 11 DE OUTUBRO EXTENSÃO SALA PLINIO MENDES DOS SANTOS;127;123;4;13;1;0;0;0;0;113;0
2019;Deodapolis;EE 13 DE MAIO;796;773;23;111;8;0;0;15;0;659;3
2019;Eldorado;EE 13 DE MAIO;366;355;11;55;7;0;0;46;15;243;0
2019;Sete Quedas;EE 13 DE MAIO;725;712;13;90;8;0;0;12;1;613;1
2019;Ladario;EE 2 DE SETEMBRO;799;786;13;82;54;1;93;128;0;441;0
2019;Campo Grande;EE 26 DE AGOSTO;622;592;30;114;20;0;0;0;0;485;3
2019;Juti;EE 31 DE MARÇO;864;839;25;76;28;0;0;0;0;756;4
2019;Sete Quedas;EE 4 DE ABRIL;360;348;12;64;0;0;0;0;0;296;0
2019;Iguatemi;EE 8 DE MAIO;923;904;19;121;10;0;0;56;11;722;3
2019;Iguatemi;EE 8 DE MAIO - EXTENSÃO ASSENTAMENTO NOSSA SENHORA AUXILIADORA;97;93;4;3;1;0;0;17;29;46;1
2019;Dourados;EE ABIGAIL BORRALHO;386;374;12;56;3;0;0;0;0;327;0
2019;Ponta Pora;EE ADÊ MARQUES;1229;1163;66;136;56;0;0;0;0;1030;7
2019;Brasilandia;EE ADILSON ALVES DA SILVA;1069;1047;22;85;29;0;0;0;0;949;6
2019;Campo Grande;EE ADV. DEMOSTHENES MARTINS;260;253;7;45;7;0;0;0;0;206;2
2019;Campo Grande;EE ADVENTOR DIVINO DE ALMEIDA;992;916;76;101;16;1;0;59;56;757;2
2019;Tres Lagoas;EE AFONSO FRANCISCO XAVIER TRANNIN;583;556;27;95;8;0;0;0;0;477;3
2019;Tres Lagoas;EE AFONSO PENA;932;898;34;164;10;0;0;93;29;636;0
2019;Laguna Carapa;EE ÁLVARO MARTINS DOS SANTOS;489;482;7;52;4;0;0;0;0;433;0
2019;Guia Lopes da Laguna;EE ALZIRO LOPES;933;911;22;85;8;0;12;0;0;828;0
2019;Campo Grande;EE AMANDO DE OLIVEIRA;1093;1068;25;160;24;0;0;0;0;909;0
2019;Campo Grande;EE AMÉLIO DE CARVALHO BAÍS;423;407;16;43;0;0;0;0;0;380;0
2019;Selviria;EE ANA MARIA DE SOUZA;503;494;9;68;19;0;0;44;21;351;0
2019;Selviria;EE ANA MARIA DE SOUZA-EXTENSÃO ASSENTAMENTO SÃO JOAQUIM;50;50;0;6;3;0;0;0;0;41;0
2019;Ivinhema;EE ANGELINA JAIME TEBET;882;798;84;68;5;0;29;72;6;702;0
