AnoReferencia;NomeMunicipio;NomeUnidadeEscolar;MatriculasTotal;MatriculaInicial;MatriculaAposCenso;Transferidos;Cancelados;Falecido;Abandono;Aprovados;Reprovados;Cursando;OutrasSituacoes
2018;Dourados;CENTRO ESTADUAL DE EDUCAÇÃO DOURADOS-CEEJA MS -EXTENSÃO UNIDADE EDUCAC DE INTERNAÇÃO -UNEI ESPERANÇA;20;12;8;17;0;0;0;3;0;0;0
2018;Chapadao do Sul;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL ARLINDO NECKEL;160;0;160;0;2;0;0;103;55;0;0
2018;Sao Gabriel do Oeste;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL MARCIO ELIAS NERY-EXT.EST.PENAL.FEM.DE SÃO GABRIEL DO OESTE;40;0;40;0;0;0;0;33;7;0;0
2018;Coxim;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL MARCIO ELIAS NERY-EXT.EST.PENAL.MASC.DE COXIM;17;0;17;0;0;0;0;10;7;0;0
2018;Campo Grande;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL PROFª MARIA DE LOURDES WIDAL ROMA;531;502;29;64;3;0;0;421;43;0;0
2018;Dourados;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL PROFESSORA EVANILDE COSTA DA SILVA;343;136;207;0;10;0;0;219;59;55;0
2018;Navirai;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL SENADOR RAMEZ TEBET;332;130;202;0;1;0;0;264;67;0;0
2018;Nova Andradina;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL SENADOR RAMEZ TEBET-EXT. PENAL MASC. DE REGIME FECHADO;10;0;10;0;0;0;0;8;2;0;0
2018;Navirai;CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL SENADOR RAMEZ TEBET-EXT. PENITENCIÁRIA DE SEGURANÇA MÁXIMA;40;0;40;0;0;0;0;40;0;0;0
2018;Aquidauana;CENTRO PROFIS AQUIDAUANA GERALDO AFONSO GARCIA FERREIRA - EXTENSÃO SALA ANTONIO SANTOS RIBEIRO;41;26;15;0;6;0;4;24;7;0;0
2018;Aquidauana;CENTRO PROFIS.AQUIDAUANA GERALDO AFONSO GARCIA FERREIRA - EXTENSÃO SALA ADA MOREIRA DE BARROS;59;56;3;14;0;0;2;38;5;0;0
2018;Campo Grande;EE 11 DE OUTUBRO;988;883;105;220;20;0;55;618;75;0;0
2018;Campo Grande;EE 11 DE OUTUBRO EXTENSÃO SALA PLINIO MENDES DOS SANTOS;131;129;2;24;8;0;1;85;13;0;0
2018;Deodapolis;EE 13 DE MAIO;874;780;94;130;4;0;0;551;172;17;0
2018;Eldorado;EE 13 DE MAIO;681;602;79;86;21;0;2;375;191;6;0
2018;Sete Quedas;EE 13 DE MAIO;815;749;66;120;6;0;0;535;140;14;0
2018;Ladario;EE 2 DE SETEMBRO;1314;990;324;115;47;2;154;817;179;0;0
2018;Campo Grande;EE 26 DE AGOSTO;761;702;59;200;26;0;39;439;57;0;0
2018;Juti;EE 31 DE MARÇO;1009;959;50;131;67;0;0;669;142;0;0
2018;Sete Quedas;EE 4 DE ABRIL;385;369;16;76;2;0;0;273;34;0;0
2018;Iguatemi;EE 8 DE MAIO;1321;1175;146;195;50;1;67;809;199;0;0
2018;Iguatemi;EE 8 DE MAIO - EXTENSÃO ASSENTAMENTO NOSSA SENHORA AUXILIADORA;171;124;47;6;5;0;9;109;42;0;0
2018;Camapua;EE ABADIA FAUSTINO INÁCIO;742;564;178;151;57;0;0;397;137;0;0
2018;Dourados;EE ABIGAIL BORRALHO;398;367;31;90;3;0;0;256;48;1;0
2018;Ponta Pora;EE ADÊ MARQUES;1534;1366;168;261;72;0;24;992;185;0;0
2018;Brasilandia;EE ADILSON ALVES DA SILVA;1188;1159;29;76;61;0;136;799;116;0;0
2018;Campo Grande;EE ADV. DEMOSTHENES MARTINS;331;302;29;60;18;0;0;216;37;0;0
2018;Campo Grande;EE ADVENTOR DIVINO DE ALMEIDA;1135;1102;33;162;26;0;107;687;153;0;0
2018;Tres Lagoas;EE AFONSO FRANCISCO XAVIER TRANNIN;608;533;75;114;7;0;0;367;120;0;0
2018;Tres Lagoas;EE AFONSO PENA;1452;1271;181;310;44;0;49;915;129;5;0
2018;Laguna Carapa;EE ÁLVARO MARTINS DOS SANTOS;564;539;25;76;6;0;35;389;58;0;0
2018;Guia Lopes da Laguna;EE ALZIRO LOPES;1219;1001;218;164;30;0;119;902;4;0;0
2018;Campo Grande;EE AMANDO DE OLIVEIRA;1141;1067;74;246;25;1;66;684;119;0;0
2018;Campo Grande;EE AMÉLIO DE CARVALHO BAÍS;511;477;34;95;7;1;0;400;8;0;0
2018;Selviria;EE ANA MARIA DE SOUZA;692;582;110;88;29;0;0;416;159;0;0
2018;Ivinhema;EE ANGELINA JAIME TEBET;1013;940;73;105;35;1;104;641;127;0;0
2018;Dourados;EE ANTÔNIA DA SILVEIRA CAPILÉ;399;365;34;90;3;0;2;276;28;0;0
2018;Nova Alvorada do Sul;EE ANTÔNIO COELHO;903;755;148;118;51;0;46;576;96;16;0
2018;Campo Grande;EE ANTÔNIO DELFINO PEREIRA E C. CULT. ED. TIA EVA;291;255;36;75;0;0;0;193;23;0;0
2018;Navirai;EE ANTÔNIO FERNANDES;1088;1011;77;290;15;0;0;634;149;0;0
2018;Navirai;EE ANTÔNIO FERNANDES - EXTENSÃO EM MILTON DIAS PORTO;205;192;13;69;0;0;0;93;43;0;0
2018;Itapora;EE ANTÔNIO JOÃO RIBEIRO;1463;1112;351;158;20;0;4;1052;229;0;0
2018;Terenos;EE ANTÔNIO NOGUEIRA DA FONSECA;393;359;34;24;13;0;4;325;27;0;0
2018;Jardim;EE ANTÔNIO PINTO PEREIRA;837;714;123;78;81;0;8;558;112;0;0
2018;Jardim;EE ANTÔNIO PINTO PEREIRA-EXTENSÃO ESTABELECIMENTO PENAL MASCULINO MÁXIMO ROMERO;58;27;31;0;15;0;6;17;17;3;0
2018;Terenos;EE ANTÔNIO VALADARES;894;795;99;171;23;1;28;542;125;4;0
2018;Terenos;EE ANTÔNIO VALADARES - EXTENSÃO PATAGONIA;145;138;7;16;0;0;5;117;5;2;0
2018;Dourados;EE ANTÔNIO VICENTE AZAMBUJA;363;360;3;82;3;0;0;262;16;0;0
2018;Paranaiba;EE ARACILDA CÍCERO CORRÊA DA COSTA;712;646;66;105;9;0;3;451;144;0;0
2018;Campo Grande;EE ARACY EUDOCIAK;1557;1334;223;235;42;0;75;973;232;0;0
2018;Antonio Joao;EE ARAL MOREIRA;1048;993;55;119;37;0;0;803;89;0;0
2018;Caarapo;EE ARCÊNIO ROJAS;886;790;96;135;25;0;97;552;77;0;0
2018;Campo Grande;EE ARLINDO DE ANDRADE GOMES;1165;1099;66;240;43;0;109;664;109;0;0
2018;Campo Grande;EE ARLINDO DE SAMPAIO JORGE;1319;1025;294;184;11;1;147;831;145;0;0
2018;Chapadao do Sul;EE AUGUSTO KRUG NETTO;1275;1107;168;250;84;0;140;713;88;0;0
2018;Nova Andradina;EE AUSTRILIO CAPILÉ CASTRO;312;287;25;109;24;0;0;155;24;0;0
2018;Douradina;EE BARÃO DO RIO BRANCO;1107;928;179;118;29;0;115;720;125;0;0
2018;Sao Gabriel do Oeste;EE BERNARDINO FERREIRA DA CUNHA;819;743;76;261;0;0;0;494;64;0;0
2018;Sao Gabriel do Oeste;EE BERNARDINO FERREIRA DA CUNHA -EXTENSÃO ESTABELECIMENTO PENAL FEMININO DE SÃO GABRIEL DO OESTE;50;27;23;26;0;0;0;13;11;0;0
